addr	size	name	confidence	args	ret	callers	callees	frame	saved	tags
0x80010000	36	func_80010000	high	1	u32	3	0	0		leaf|addr_taken
0x80010024	16	func_80010024	low	1	u32	0	0	0		leaf|orphan
0x80010034	76	func_80010034	low	1	u32	1	0	0		leaf
0x80010080	496	func_80010080	medium	2	u32	0	0	32	s0|s1|s2|s3|s4|s5	leaf|orphan
0x80010270	124	func_80010270	low	0	u32	0	0	0		leaf|orphan
0x80010394	432	func_80010394	medium	2	u32	0	1	48	s0|s1|s2|s4|s5|ra	orphan
0x80010544	120	func_80010544	low	2	void	0	0	0		leaf|orphan
0x800105BC	304	func_800105BC	low	0	u32	1	0	0		leaf|orphan
0x80013BD4	15928	func_80013BD4	data	0	void	0	0	0		leaf|orphan
0x80017A0C	464	func_80017A0C	high	3	u32	1	0	0		leaf|gte
0x80017BDC	508	func_80017BDC	high	4	u32	1	0	0	s0	leaf|gte
0x80017DD8	448	func_80017DD8	high	4	u32	1	0	0	s0	leaf|gte
0x80017F98	716	func_80017F98	high	3	u32	5	3	0		gte
0x800189D4	15364	func_800189D4	data	0	void	0	0	0		leaf|orphan
0x8001C5D8	1028	func_8001C5D8	high	2	u32	1	0	0		leaf|gp
0x8001C9DC	264	func_8001C9DC	verified	4	u32	1	1	32	s0|s1|s2|ra	gp
0x8001CAE4	236	func_8001CAE4	verified	3	u32	1	0	8		leaf
0x8001CBD0	152	func_8001CBD0	high	2	u32	1	0	0		leaf|gp
0x8001CC68	160	func_8001CC68	medium	0	u32	0	1	32	fp|ra	orphan
0x8001CD08	196	func_8001CD08	verified	0	u32	1	6	32	fp|ra	
0x8001CDCC	128	func_8001CDCC	verified	1	u32	1	0	32	fp	leaf
0x8001CE4C	152	func_8001CE4C	verified	0	u32	4	0	8	fp	leaf
0x8001CEE4	128	func_8001CEE4	verified	0	u32	2	0	8	fp	leaf
0x8001CF64	48	func_8001CF64	medium	0	void	0	1	40	fp|ra	orphan
0x8001CF94	116	func_8001CF94	verified	3	u32	1	1	24	ra	
0x8001D008	24	func_8001D008	low	1	u32	1	0	0		leaf
0x8001D020	40	func_8001D020	medium	0	void	0	0	16		leaf|orphan
0x8001D048	4	func_8001D048	low	2	void	2	0	0		leaf
0x8001D04C	248	func_8001D04C	medium	3	u32	0	3	32	s0|s1|s2|ra	orphan
0x8001D144	248	func_8001D144	verified	2	u32	1	1	32	s0|s1|s2|ra	
0x8001D23C	12	func_8001D23C	high	1	void	3	0	0		leaf|gp
0x8001D248	8	func_8001D248	low	2	u32	12	0	0		leaf|gp
0x8001D250	248	func_8001D250	medium	0	u32	0	3	32	s0|s1|s2|ra	orphan
0x8001D348	52	func_8001D348	high	0	u32	4	0	0		leaf
0x8001D380	232	func_8001D380	medium	0	u32	0	4	32	s0|s1|ra	gp|orphan
0x8001D468	124	func_8001D468	low	0	u32	0	0	0		leaf|gp|orphan
0x8001D4E4	112	func_8001D4E4	medium	0	u32	0	2	32	s0|s1|s2|ra	orphan
0x8001D554	16	func_8001D554	high	2	void	1	0	0		leaf|gp
0x8001D564	12	func_8001D564	low	0	u32	0	0	0		leaf|gp|orphan
0x8001D570	32	func_8001D570	low	1	u32	0	0	0		leaf|gp|orphan
0x8001D590	52	func_8001D590	high	0	u32	3	0	0		leaf|gp
0x8001D5C4	60	func_8001D5C4	low	0	u32	5	0	0		leaf|gp|orphan
0x8001D600	52	func_8001D600	low	0	u32	6	0	0		leaf|gp|orphan
0x8001D634	32	func_8001D634	low	0	u32	0	0	0		leaf|gp|orphan
0x8001D654	100	func_8001D654	medium	1	u32	1	2	24	s0|ra	gp|orphan
0x8001D6B8	160	func_8001D6B8	verified	1	u32	33	1	24	s0|ra	break
0x8001D758	204	func_8001D758	medium	1	u32	0	1	32	s0|s1|ra	break|orphan
0x8001D824	108	func_8001D824	verified	0	u32	6	1	112	ra	
0x8001D890	12	func_8001D890	high	1	void	4	0	0		leaf
0x8001D89C	12	func_8001D89C	low	1	u32	0	0	0		leaf|orphan
0x8001D8A8	64	func_8001D8A8	high	2	u32	9	0	0		leaf
0x8001D8E8	60	func_8001D8E8	low	2	u32	0	0	0		leaf|orphan
0x8001D924	128	func_8001D924	low	1	u32	0	0	0		leaf|orphan
0x8001D9A4	68	func_8001D9A4	high	1	u32	6	0	0		leaf
0x8001D9E8	244	func_8001D9E8	high	2	u32	3	0	0		leaf
0x8001DADC	28	func_8001DADC	high	0	u32	1	0	0		leaf|gp
0x8001DAF8	240	func_8001DAF8	verified	1	u32	3	2	40	s0|s1|s2|s3|ra	gp
0x8001DBE8	52	func_8001DBE8	high	1	u32	1	0	0		leaf|gp
0x8001DC1C	288	func_8001DC1C	low	2	u32	0	0	0		leaf|gp|orphan
0x8001DD3C	8	func_8001DD3C	low	0	u32	0	0	0		leaf|orphan
0x8001DD44	68	func_8001DD44	low	1	u32	0	0	0		leaf|gp|orphan
0x8001DD88	408	func_8001DD88	verified	1	u32	3	3	64	s0|s1|s2|s3|s4|s5|s6|ra	gp
0x8001DF20	36	func_8001DF20	high	1	u32	3	0	0		leaf|gp
0x8001DF44	364	func_8001DF44	verified	3	u32	3	1	32	s0|s1|s2|ra	
0x8001E0B0	156	func_8001E0B0	high	2	u32	1	0	0		leaf
0x8001E14C	276	func_8001E14C	verified	2	u32	5	1	40	s0|s1|s2|s3|ra	
0x8001E260	180	func_8001E260	medium	1	u32	0	3	544	ra	orphan
0x8001E314	96	func_8001E314	medium	2	u32	0	2	32	ra	orphan
0x8001E374	208	func_8001E374	verified	0	u32	13	3	24	ra	gp
0x8001E444	92	func_8001E444	low	2	u32	0	0	0		leaf|gp|orphan
0x8001E4A0	300	func_8001E4A0	verified	0	u32	1	1	56	s0|s1|s2|s3|s4|s5|s6|s7|fp|ra	
0x8001E5CC	124	func_8001E5CC	low	0	u32	0	0	0		leaf|orphan
0x8001E648	156	func_8001E648	low	1	u32	0	0	0		leaf|orphan
0x8001E6E4	460	func_8001E6E4	verified	0	u32	13	7	32	ra	gp
0x8001E8B0	60	func_8001E8B0	medium	0	u32	0	1	24	ra	gp|orphan
0x8001E8F0	44	func_8001E8F0	medium	0	void	0	2	24	ra	gp|orphan
